Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand,Exterior Color,Interior Color,Registration,Ownership,price_display
Porsche 718,https://www.olx.in/item/cars-c84-used-porsche-718-in-vikaspuri-delhi-iid-1836107404?rank=15,Vikaspuri,8900000.0,https://apollo.olx.in:443/v1/files/qxht1qw0x5vn3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2020.0,40000.0,Porsche,,,,2.0,"₹89,00,000"
Mercedes-Benz CLE cabriolet,https://www.olx.in/item/cars-c84-used-mercedes-benz-cle-cabriolet-in-paschim-vihar-delhi-iid-1836099417?rank=16,Paschim Vihar,9975000.0,https://apollo.olx.in:443/v1/files/uys343zzxcwn1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024.0,2000.0,Mercedes-Benz,,,,1.0,"₹99,75,000"
Lamborghini Aventador,https://www.olx.in/item/cars-c84-used-lamborghini-aventador-in-rajouri-garden-delhi-iid-1836069722?rank=17,Rajouri Garden,27500000.0,https://apollo.olx.in:443/v1/files/pvc6dxj0kmy43-IN/image;s=150x0;q=50;f=webp;,,,2012.0,20000.0,,,,,,"₹2,75,00,000"
Lamborghini Urus SE,https://www.olx.in/item/cars-c84-used-lamborghini-urus-se-in-rajouri-garden-delhi-iid-1836063607?rank=18,Rajouri Garden,32500000.0,https://apollo.olx.in:443/v1/files/pcnf81ev79lq3-IN/image;s=150x0;q=50;f=webp;,,Automatic,2021.0,20000.0,,,,,,"₹3,25,00,000"
Aston Martin DBX,https://www.olx.in/item/cars-c84-used-aston-martin-dbx-in-rajouri-garden-delhi-iid-1836063294?rank=19,Rajouri Garden,25000000.0,https://apollo.olx.in:443/v1/files/hz5rd2xj18y91-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2020.0,11700.0,,,,,1.0,"₹2,50,00,000"
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1830237079?rank=20,Vikaspuri,23099999.0,https://apollo.olx.in:443/v1/files/nxcokpmzai4q1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024.0,17000.0,,,,,1.0,"₹2,30,99,999"
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-vikaspuri-delhi-iid-1813492236?rank=21,Vikaspuri,13575000.0,https://apollo.olx.in:443/v1/files/9377b9xn24m6-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2021.0,52352.0,Land Rover,,,,1.0,"₹1,35,75,000"
Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1835882437?rank=22,Paschim Vihar,26000000.0,https://apollo.olx.in:443/v1/files/p5xlj5y5z5jj2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2026.0,23.0,,,,,1.0,"₹2,60,00,000"
Lamborghini Huracan,https://www.olx.in/item/cars-c84-used-lamborghini-huracan-in-rajouri-garden-delhi-iid-1836061543?rank=23,Rajouri Garden,26500000.0,https://apollo.olx.in:443/v1/files/mq8oukblce1e-IN/image;s=150x0;q=50;f=webp;,,,2016.0,20000.0,,,,,2.0,"₹2,65,00,000"
Rolls-Royce Ghost,https://www.olx.in/item/cars-c84-used-rolls-royce-ghost-in-rajouri-garden-delhi-iid-1836059137?rank=24,Rajouri Garden,17500000.0,https://apollo.olx.in:443/v1/files/sfgr8bh454qh1-IN/image;s=150x0;q=50;f=webp;,,,2013.0,50000.0,,,,,2.0,"₹1,75,00,000"
Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1836052713?rank=25,Rajouri Garden,8000000.0,https://apollo.olx.in:443/v1/files/233n4qh5zk651-IN/image;s=150x0;q=50;f=webp;,,,2023.0,55000.0,,,,,1.0,"₹80,00,000"
