,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand
2120,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-punjabi-bagh-west-delhi-iid-1836960974?rank=0,Punjabi Bagh West,25000000,https://apollo.olx.in:443/v1/files/e38yy3vtktmy2-IN/image;s=150x0;q=50;f=webp;,Petrol,,2024,300.0,Toyota
2121,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1835205431?rank=1,Rajouri Garden,12975000,https://apollo.olx.in:443/v1/files/t5jjmoqec6qn1-IN/image;s=150x0;q=50;f=webp;,Petrol,,2023,11800.0,Toyota
2124,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-paschim-vihar-delhi-iid-1836429609?rank=4,Paschim Vihar,12490000,https://apollo.olx.in:443/v1/files/vhvyjewzf9173-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,2000.0,Toyota
2125,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1836429289?rank=5,Rajouri Garden,12500000,https://apollo.olx.in:443/v1/files/maxdakzynssy-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,2000.0,Toyota
2126,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-paschim-vihar-delhi-iid-1836428853?rank=6,Paschim Vihar,12490000,https://apollo.olx.in:443/v1/files/oq7zhwh2xli62-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2024,2200.0,Toyota
2181,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-paschim-vihar-delhi-iid-1836041316?rank=21,Paschim Vihar,8175000,https://apollo.olx.in:443/v1/files/nftn74b7awtg-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2022,46000.0,Toyota
2278,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-rajouri-garden-delhi-iid-1828944668?rank=38,Rajouri Garden,22100000,https://apollo.olx.in:443/v1/files/pfuwryeouicp2-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,15000.0,Toyota
2282,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-paschim-vihar-delhi-iid-1835881611?rank=2,Paschim Vihar,26000000,https://apollo.olx.in:443/v1/files/fibzux6lzujh-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2026,10.0,Toyota
2283,Toyota Land Cruiser,https://www.olx.in/item/cars-c84-used-toyota-land-cruiser-in-vikaspuri-delhi-iid-1828942135?rank=3,Vikaspuri,22100000,https://apollo.olx.in:443/v1/files/e4ibgsq366br3-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,10000.0,Toyota
2388,Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-rajouri-garden-delhi-iid-1836052713?rank=28,Rajouri Garden,8000000,https://apollo.olx.in:443/v1/files/233n4qh5zk651-IN/image;s=150x0;q=50;f=webp;,,,2023,55000.0,Toyota
