,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand
17,Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-rajouri-garden-delhi-iid-1834317454?rank=17,Rajouri Garden,1675000,https://apollo.olx.in:443/v1/files/y7x9ld5zszkl-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2021,59000.0,Toyota
18,Land Rover Range Rover Evoque,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-evoque-in-vikaspuri-delhi-iid-1832613724?rank=18,Vikaspuri,2075000,https://apollo.olx.in:443/v1/files/prif1c6nz1h03-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2018,89000.0,Land Rover
19,Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-vikaspuri-delhi-iid-1835985504?rank=19,Vikaspuri,1150000,https://apollo.olx.in:443/v1/files/w6zlu7s0m431-IN/image;s=150x0;q=50;f=webp;,Diesel,Manual,2021,24000.0,Mahindra
20,Mercedes-Benz C Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-c-class-in-rajouri-garden-delhi-iid-1825438684?rank=20,Rajouri Garden,585000,https://apollo.olx.in:443/v1/files/y3npj8uw2dua1-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2012,90000.0,Mercedes-Benz
21,BMW 5 Series,https://www.olx.in/item/cars-c84-used-bmw-5-series-in-rajouri-garden-delhi-iid-1836525718?rank=21,Rajouri Garden,2745000,https://apollo.olx.in:443/v1/files/al9y80iks47j1-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2019,32000.0,BMW
22,Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-rajouri-garden-delhi-iid-1833009034?rank=22,Rajouri Garden,725000,https://apollo.olx.in:443/v1/files/81aye78ccw7d1-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2023,18000.0,Maruti Suzuki
23,MG ASTOR,https://www.olx.in/item/cars-c84-used-mg-astor-in-punjabi-bagh-west-delhi-iid-1822321057?rank=23,Punjabi Bagh West,1099000,https://apollo.olx.in:443/v1/files/raia9tuhjsb52-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2023,37510.0,MG
24,Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-pitampura-delhi-iid-1835697767?rank=24,Pitampura,1250000,https://apollo.olx.in:443/v1/files/50tnty9wwsjr-IN/image;s=150x0;q=50;f=webp;,Diesel,Automatic,2023,86000.0,Tata
25,Mahindra XUV 300,https://www.olx.in/item/cars-c84-used-mahindra-xuv-300-in-rajouri-garden-delhi-iid-1833512560?rank=25,Rajouri Garden,670000,https://apollo.olx.in:443/v1/files/td7jhk99gprk1-IN/image;s=150x0;q=50;f=webp;,Diesel,Manual,2020,74500.0,Mahindra
26,Volkswagen Vento,https://www.olx.in/item/cars-c84-used-volkswagen-vento-in-rohini-sector-2-delhi-iid-1834871634?rank=26,Rohini Sector 2,175000,https://apollo.olx.in:443/v1/files/gwflkqrsznul1-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2011,78000.0,Volkswagen
27,Toyota Corolla Altis,https://www.olx.in/item/cars-c84-used-toyota-corolla-altis-in-ramesh-nagar-delhi-iid-1834741125?rank=27,Ramesh Nagar,595000,https://apollo.olx.in:443/v1/files/32l4z5j7ytjt3-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2015,32500.0,Toyota
28,Toyota Corolla Altis,https://www.olx.in/item/cars-c84-used-toyota-corolla-altis-in-ramesh-nagar-delhi-iid-1834742540?rank=28,Ramesh Nagar,194500,https://apollo.olx.in:443/v1/files/1fkfev6z9kcq1-IN/image;s=150x0;q=50;f=webp;,CNG & Hybrids,Manual,2011,93100.0,Toyota
29,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-ramesh-nagar-delhi-iid-1834741362?rank=29,Ramesh Nagar,395000,https://apollo.olx.in:443/v1/files/2qihxikjq9yc3-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2016,79500.0,Hyundai
30,Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-rajouri-garden-delhi-iid-1837077682?rank=30,Rajouri Garden,735000,https://apollo.olx.in:443/v1/files/wvn5eo951oor2-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2019,72000.0,Kia
31,Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-pitampura-delhi-iid-1830912548?rank=31,Pitampura,1800000,https://apollo.olx.in:443/v1/files/55o1bnmmfgc32-IN/image;s=150x0;q=50;f=webp;,Diesel,Manual,2016,400000.0,Ford
32,Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-ramesh-nagar-delhi-iid-1836570581?rank=32,Ramesh Nagar,675000,https://apollo.olx.in:443/v1/files/a5dbn48x2jrg-IN/image;s=150x0;q=50;f=webp;,Diesel,Manual,2018,61200.0,Mahindra
33,Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-ramesh-nagar-delhi-iid-1836671262?rank=33,Ramesh Nagar,419500,https://apollo.olx.in:443/v1/files/c5p96ap9war23-IN/image;s=150x0;q=50;f=webp;,Diesel,Manual,2016,99500.0,Mahindra
34,Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-ramesh-nagar-delhi-iid-1836671535?rank=34,Ramesh Nagar,751000,https://apollo.olx.in:443/v1/files/rqvq70gkicp-IN/image;s=150x0;q=50;f=webp;,Petrol,Manual,2020,91800.0,Honda
35,Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-ramesh-nagar-delhi-iid-1836673135?rank=35,Ramesh Nagar,645000,https://apollo.olx.in:443/v1/files/p4pk694l2oxl2-IN/image;s=150x0;q=50;f=webp;,Petrol,Automatic,2017,69900.0,Honda
