Title,Link,Location,Price,Information,Image,Brand
BMW 3 Series GT,https://www.olx.in/item/cars-c84-used-bmw-3-series-gt-in-rajouri-garden-delhi-iid-1832697109?rank=17,Rajouri GardenToday,"₹ 21,90,000","2019 - 22,751 km",https://apollo.olx.in:443/v1/files/jpmx2rrmt53v3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-hari-nagar-delhi-iid-1835310567?rank=18,Hari NagarToday,"₹ 5,89,985","2017 - 63,550 km",https://apollo.olx.in:443/v1/files/c9mv63vstekd2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda Amaze,https://www.olx.in/item/cars-c84-used-honda-amaze-in-ramesh-nagar-delhi-iid-1834207299?rank=19,Ramesh NagarToday,"₹ 5,20,000","2019 - 44,000 km",https://apollo.olx.in:443/v1/files/6p1e39tmf18l2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova,https://www.olx.in/item/cars-c84-used-toyota-innova-in-pitampura-delhi-iid-1836081496?rank=20,Pitampura26 Feb,"₹ 10,25,000","2018 - 89,273 km",https://apollo.olx.in:443/v1/files/lczsikjk5ywq2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Scorpio,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-in-peera-garhi-delhi-iid-1824906119?rank=21,Peera GarhiYesterday,"₹ 6,99,000","2018 - 77,933 km",https://apollo.olx.in:443/v1/files/mirrixw1yphl3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Corolla Altis,https://www.olx.in/item/cars-c84-used-toyota-corolla-altis-in-rajouri-garden-delhi-iid-1828785953?rank=22,Rajouri Garden6 days ago,"₹ 8,15,000","2018 - 441,365 km",https://apollo.olx.in:443/v1/files/fqfyc1n90shw1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-ramesh-nagar-delhi-iid-1830933044?rank=23,Ramesh NagarToday,"₹ 7,85,000","2018 - 67,000 km",https://apollo.olx.in:443/v1/files/wp02f85bpgep3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-ramesh-nagar-delhi-iid-1830932792?rank=24,Ramesh NagarToday,"₹ 12,25,000","2023 - 56,000 km",https://apollo.olx.in:443/v1/files/ruozbs0j52kh2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-pitampura-delhi-iid-1830511419?rank=25,PitampuraToday,"₹ 9,50,000","2019 - 48,000 km",https://apollo.olx.in:443/v1/files/97yzkrm9kict3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-jawalaheri-delhi-iid-1831411326?rank=26,JawalaheriToday,"₹ 12,75,000","2024 - 13,000 km",https://apollo.olx.in:443/v1/files/hxtdoudru2zp3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
