Title,Link,Location,Price,Information,Image,Brand
Mahindra Quanto,https://www.olx.in/item/cars-c84-used-mahindra-quanto-in-borivali-west-mumbai-iid-1835871622?rank=17,Borivali West,"₹ 1,99,999","2015 - 75,000 km",https://apollo.olx.in:443/v1/files/5201jj8ac9lt3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-chembur-mumbai-iid-1835871539?rank=18,Chembur,"₹ 12,25,000","2023 - 29,000 km",https://apollo.olx.in:443/v1/files/es9vxyth7dv42-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-vile-parle-east-mumbai-iid-1835871345?rank=19,Vile Parle East,"₹ 18,98,000","2022 - 17,000 km",https://apollo.olx.in:443/v1/files/iessm4mlj6uw-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-chembur-mumbai-iid-1835871123?rank=20,Chembur,"₹ 17,95,000","2019 - 85,000 km",https://apollo.olx.in:443/v1/files/n016qrkhj6fh-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-chembur-mumbai-iid-1835870592?rank=21,Chembur,"₹ 4,45,000","2014 - 34,000 km",https://apollo.olx.in:443/v1/files/fabrnhpd40hc1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-chembur-mumbai-iid-1835870248?rank=22,Chembur,"₹ 8,95,000","2019 - 47,000 km",https://apollo.olx.in:443/v1/files/b1wp1lrggkah-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Skoda Superb,https://www.olx.in/item/cars-c84-used-skoda-superb-in-vile-parle-east-mumbai-iid-1835870415?rank=23,Vile Parle East,"₹ 9,39,000","2016 - 90,000 km",https://apollo.olx.in:443/v1/files/us5gfca59qle3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A6,https://www.olx.in/item/cars-c84-used-audi-a6-in-ashok-vihar-delhi-iid-1835679767?rank=24,Ashok ViharToday,"₹ 10,90,000","2015 - 120,000 km",https://apollo.olx.in:443/v1/files/mte9p05kwahq-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A6,https://www.olx.in/item/cars-c84-used-audi-a6-in-ashok-vihar-delhi-iid-1835678942?rank=25,Ashok ViharToday,"₹ 49,90,000","2024 - 11,000 km",https://apollo.olx.in:443/v1/files/2q2885ano86x2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-kurukshetra-university-kurukshetra-iid-1834764859?rank=26,Kurukshetra UniversityToday,"₹ 3,65,000","2016 - 74,000 km",https://apollo.olx.in:443/v1/files/sl8qgu30x1t41-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-yamuna-nagar-yamunanagar-iid-1834764470?rank=27,Yamuna NagarToday,"₹ 3,60,000","2016 - 74,000 km",https://apollo.olx.in:443/v1/files/o4lrngavlnbh3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-sargota-colony-kaithal-iid-1834763840?rank=28,Sargota ColonyToday,"₹ 4,25,000","2017 - 71,000 km",https://apollo.olx.in:443/v1/files/w3quqpf8kja62-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Skoda Rapid TSI,https://www.olx.in/item/cars-c84-used-skoda-rapid-tsi-in-vikhroli-west-mumbai-iid-1832806982?rank=29,Vikhroli WestToday,"₹ 6,80,000","2021 - 86,000 km",https://apollo.olx.in:443/v1/files/rry5c093ybwz1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-financial-district-hyderabad-iid-1831376250?rank=30,Financial DistrictToday,"₹ 21,45,000","2020 - 92,812 km",https://apollo.olx.in:443/v1/files/4gbamt5iajni2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Wagon-R,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-rohini-sector-6-delhi-iid-1830150016?rank=31,Rohini Sector 6Today,"₹ 3,20,000","2018 - 65,000 km",https://apollo.olx.in:443/v1/files/1kkmnib5v0wo1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi A6,https://www.olx.in/item/cars-c84-used-audi-a6-in-karol-bagh-delhi-iid-1819630946?rank=32,Karol BaghToday,"₹ 31,50,000","2020 - 48,000 km",https://apollo.olx.in:443/v1/files/cs8bhj7esl0u-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-lajpat-nagar-2-delhi-iid-1817650082?rank=33,Lajpat Nagar 2Today,"₹ 13,25,000","2023 - 32,000 km",https://apollo.olx.in:443/v1/files/nh8gyylud9ea3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-lajpat-nagar-2-delhi-iid-1816194629?rank=34,Lajpat Nagar 2Today,"₹ 4,10,000","2014 - 73,000 km",https://apollo.olx.in:443/v1/files/ioq7rp6c5zd-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Etios,https://www.olx.in/item/cars-c84-used-toyota-etios-in-lajpat-nagar-2-delhi-iid-1813679487?rank=35,Lajpat Nagar 2Today,"₹ 3,60,000","2016 - 76,000 km",https://apollo.olx.in:443/v1/files/yh023005ibg52-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mercedes-Benz GLA,https://www.olx.in/item/cars-c84-used-mercedes-benz-gla-in-ashok-vihar-delhi-iid-1835678441?rank=36,Ashok ViharToday,"₹ 19,80,000","2019 - 45,000 km",https://apollo.olx.in:443/v1/files/u5gxdf9dgedm-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Wagon-R,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-thimappa-reddy-layout-bengaluru-iid-1835494727?rank=37,Thimappa Reddy LayoutToday,"₹ 2,95,000","2013 - 83,280 km",https://apollo.olx.in:443/v1/files/4mcgwtfodbrw-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Figo,https://www.olx.in/item/cars-c84-used-ford-figo-in-allikottai-salem-iid-1836970019?rank=38,AllikottaiToday,"₹ 3,00,000","2012 - 116,000 km",https://apollo.olx.in:443/v1/files/11rw4yqub2yr1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Wagon-R,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-ajabpur-kalan-dehradun-iid-1836970065?rank=39,Ajabpur KalanToday,"₹ 1,35,000","2008 - 75,000 km",https://apollo.olx.in:443/v1/files/8skylhb9dln52-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-manjadi-tiruvalla-thiruvalla-iid-1831411453?rank=0,Manjadi TiruvallaToday,"₹ 19,25,000","2018 - 120,000 km",https://apollo.olx.in:443/v1/files/ylo7hq6662c32-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mercedes-Benz E-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-model-town-delhi-iid-1807801465?rank=1,Model TownToday,"₹ 46,95,000","2022 - 56,000 km",https://apollo.olx.in:443/v1/files/0ycymcu1rfnh2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Fortuner,https://www.olx.in/item/cars-c84-used-toyota-fortuner-in-sector-57-gurgaon-iid-1836524162?rank=2,Sector 57Today,"₹ 39,75,000","2025 - 36,000 km",https://apollo.olx.in:443/v1/files/13jpvhbschsn1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Tata Tiago,https://www.olx.in/item/cars-c84-used-tata-tiago-in-yelahanka-new-town-bengaluru-iid-1836436824?rank=3,Yelahanka New TownToday,"₹ 4,85,000","2019 - 74,000 km",https://apollo.olx.in:443/v1/files/rj2kxfeu3qkn1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-malleshwaram-bengaluru-iid-1836063967?rank=4,Malleshwaram,"₹ 26,55,000","2021 - 125,865 km",https://apollo.olx.in:443/v1/files/0txf3tufdoww2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Audi Q5,https://www.olx.in/item/cars-c84-used-audi-q5-in-sadashiva-nagar-bengaluru-iid-1836063090?rank=5,Sadashiva Nagar,"₹ 19,88,000","2015 - 78,000 km",https://apollo.olx.in:443/v1/files/qi1sce7erx9v2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Etios,https://www.olx.in/item/cars-c84-used-toyota-etios-in-kursi-road-lucknow-iid-1836063089?rank=6,Kursi RoadToday,"₹ 3,25,000","2012 - 72,000 km",https://apollo.olx.in:443/v1/files/ozy1578b8qvx1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Celerio,https://www.olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-karol-bagh-delhi-iid-1835679611?rank=7,Karol BaghToday,"₹ 3,90,000","2018 - 73,670 km",https://apollo.olx.in:443/v1/files/pgo05imyp6bz-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-karol-bagh-delhi-iid-1835679310?rank=8,Karol BaghToday,"₹ 3,80,000","2017 - 71,298 km",https://apollo.olx.in:443/v1/files/c8ldockdzyce2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-karol-bagh-delhi-iid-1834207541?rank=9,Karol BaghToday,"₹ 5,90,000","2018 - 65,238 km",https://apollo.olx.in:443/v1/files/c9f2srajrnca1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-banashankari-stage-1-bengaluru-iid-1831410898?rank=10,Banashankari Stage 1Today,"₹ 12,45,000","2020 - 74,000 km",https://apollo.olx.in:443/v1/files/2jqw3iq20o7a2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Celerio,https://www.olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-karol-bagh-delhi-iid-1831410834?rank=11,Karol BaghToday,"₹ 3,90,000","2018 - 68,524 km",https://apollo.olx.in:443/v1/files/99qfzpomayrw1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Swift,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-banashankari-stage-1-bengaluru-iid-1831410610?rank=12,Banashankari Stage 1Today,"₹ 3,25,000","2011 - 56,000 km",https://apollo.olx.in:443/v1/files/l2yu6agvzb4i1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mercedes-Benz GLC,https://www.olx.in/item/cars-c84-used-mercedes-benz-glc-in-ambernath-thane-iid-1833733639?rank=13,AmbernathToday,"₹ 27,00,000","2018 - 50,000 km",https://apollo.olx.in:443/v1/files/uiz30sfz5h2s3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Santro,https://www.olx.in/item/cars-c84-used-hyundai-santro-in-ashok-nagar-belagavi-iid-1836970091?rank=14,Ashok Nagar,"₹ 1,79,000","2010 - 80,000 km",https://apollo.olx.in:443/v1/files/kd99ot0lmlgo2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-mira-road-mumbai-iid-1835870705?rank=15,Mira RoadToday,"₹ 11,75,000","2022 - 82,000 km",https://apollo.olx.in:443/v1/files/1mhv9z2ue3up3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Toyota Innova Hycross,https://www.olx.in/item/cars-c84-used-toyota-innova-hycross-in-seawoods-navi-mumbai-iid-1835494322?rank=16,Seawoods,"₹ 33,75,000","2023 - 170,000 km",https://apollo.olx.in:443/v1/files/r3vwgs26yfsb2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-gandhipuram-coimbatore-iid-1829057155?rank=17,GandhipuramToday,"₹ 2,60,000","2011 - 82,000 km",https://apollo.olx.in:443/v1/files/nalg84mdqfpx-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Ford Ecosport,https://www.olx.in/item/cars-c84-used-ford-ecosport-in-avinashi-coimbatore-iid-1807801814?rank=18,AvinashiToday,"₹ 6,30,000","2017 - 110,000 km",https://apollo.olx.in:443/v1/files/5m8deet74bna1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Wagon-R,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-beerpur-katra-katra-gonda-district-iid-1836452757?rank=19,Beerpur KatraToday,"₹ 2,60,000","2015 - 620,000 km",https://apollo.olx.in:443/v1/files/o50gvqrnfubd-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mercedes-Benz C-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-c-class-in-chembur-mumbai-iid-1833646558?rank=20,ChemburToday,"₹ 10,99,000","2016 - 99,000 km",https://apollo.olx.in:443/v1/files/rrmp1m7nznz02-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volvo XC60,https://www.olx.in/item/cars-c84-used-volvo-xc60-in-kurla-east-mumbai-iid-1833646317?rank=21,Kurla EastToday,"₹ 23,99,000","2019 - 59,000 km",https://apollo.olx.in:443/v1/files/6g8x3gbzxk9w1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
