,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand,Region Info,price_display
10,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2013-cars-new-delhi-10002062743/,Karawal Nagar New Delhi Delhi,305000.0,"https://marketplace-cdn.cars24.com/production/10002062743/main image/2026-03-07/car_replace_bg_ae974128-5406-4eb0-a93d-829e1bbd34a0.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2013,34031.0,Maruti,DL-2C,"₹ 3,05,000"
11,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2014-cars-new-delhi-10085961772/,null New Delhi Delhi,419000.00000000006,"https://marketplace-cdn.cars24.com/production/10085961772/main image/2026-03-07/car_replace_bg_d9cc0041-60f4-4fc0-ba7e-c0a0431dd373.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2014,83941.0,Maruti,DL-8C,"₹ 4,19,000"
12,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-new-delhi-10089165701/,Navjeevan Vihar Malviya nagar New Delhi,663000.0,"https://marketplace-cdn.cars24.com/production/10089165701/main image/2026-03-06/car_replace_bg_bad3dc12-2dfe-4b7f-999b-8affa1f56835.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,179304.0,Maruti,DL-3C,"₹ 6,63,000"
13,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-new-delhi-10016669748/,Anand Parbat Road Anand Parbat Delhi,432000.0,"https://marketplace-cdn.cars24.com/production/10016669748/main image/2026-03-07/car_replace_bg_a1e020e5-372f-4951-8588-261721934694.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,84283.0,Maruti,DL-9C,"₹ 4,32,000"
14,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2018-cars-new-delhi-10049463731/,Ranhola New Delhi Delhi,359000.0,"https://marketplace-cdn.cars24.com/production/10049463731/main image/2026-01-29/car_replace_bg_9f77612b-6e8c-4bad-9d40-2593fe948ea2.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2018,91556.0,Maruti,HR-98,"₹ 3,59,000"
15,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2024-cars-sonipat-44599860730/,Sonipat Pehladpur- Kirholi,932000.0,"https://marketplace-cdn.cars24.com/production/44599860730/main image/2026-01-29/car_replace_bg_c7dcf360-6f6a-483e-a272-5ddab087e6a6.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2024,28137.0,Maruti,HR-79,"₹ 9,32,000"
16,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-new-delhi-10096768736/,Moti Bagh New Delhi,975000.0,"https://marketplace-cdn.cars24.com/production/10096768736/main image/2026-02-07/car_replace_bg_b73a72c9-35c1-4827-9a1b-ee4f10b05583.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2022,41178.0,Maruti,DL-3C,"₹ 9,75,000"
17,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2021-cars-new-delhi-10018663726/,Shiv shakti mandir Ku block Delhi,690000.0,"https://marketplace-cdn.cars24.com/production/10018663726/main image/2026-02-14/car_replace_bg_541a93a2-c9ce-4569-96e7-147db66c7680.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2021,45398.0,Maruti,DL-9C,"₹ 6,90,000"
18,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-new-delhi-10041368789/,Sector 5 bawana industrial area Sector 5 bawana industrial area New Delhi,918000.0,"https://marketplace-cdn.cars24.com/production/10041368789/main image/2026-01-16/car_replace_bg_aec6ce4e-15b2-486f-bacc-583ae171f055.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2022,124326.0,Maruti,DL-9C,"₹ 9,18,000"
19,Maruti Ertiga,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-new-delhi-10051363713/,Nehru place Nehru Place South Delhi,550000.0,"https://marketplace-cdn.cars24.com/production/10051363713/main image/2025-12-22/car_replace_bg_9e114f1b-5f2c-4797-ba4d-5fa1a959049c.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2017,111242.0,Maruti,DL-2C,"₹ 5,50,000"
20,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-noida-13896702768/,"Gaur City mall, Multilevel parking, Greater Noida",468000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/b68f7364-0b1b-11f1-bd51-02ede2007fbe/463ef02c-b0eb-4027-88fb-7b44c377d0bc/022a2fca-1a97-4897-aabd-064d6fcf6aab/0a572afe-b038-4654-98de-186faf94d44a/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2020,84775.0,Maruti,UP-80,"₹ 4,68,000"
21,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-gurgaon-11019765786/,"M3M Urbana, Golf Course Ext., Gurugram",459000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/60e5f1ce-153c-11f1-bd51-02ede2007fbe/86ef1bc3-cda4-4c12-8cd8-7e77737fb6e9/295f6a8e-bf7e-4153-94f3-07dd2ffc028d/9765bcfe-ff12-407d-94e7-a3697fadb72d/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,80118.0,Maruti,HR-05,"₹ 4,59,000"
22,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-new-delhi-10588069738/,"Metro Walk, Rohini, New Delhi",663000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/e371e2e8-0343-11f1-bd51-02ede2007fbe/d5b2a140-5033-4839-bb9a-dd4e510c2623/1657a09b-d4f7-4769-a7be-40c8fb7d1375/e785fedd-b0cc-4353-a179-da8ce85a1d4e/slot/camera-SRP.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Automatic,2020,53042.0,Maruti,DL-1C,"₹ 6,63,000"
23,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-new-delhi-10050861722/,Rajouri Garden,635000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/75ea8170-16f9-11f1-bd51-02ede2007fbe/m/e186af6f-32d4-4d0c-8325-1e688e066a34/dd576380-d2d9-4efd-ba7b-442a7c617c51/ca62913d-5536-455e-b7bd-50dc82680ee7/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Automatic,2020,44683.0,Maruti,DL-2C,"₹ 6,35,000"
24,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-noida-10169329741/,"Gaur City mall, Multilevel parking, Greater Noida",614000.0,"https://media.cars24.com/hello-ar/dev/transformed/uploads/no_bg/f3626a08-1917-11f1-bd51-02ede2007fbe/7af18a31-a6a1-4868-9d53-f26db601aa4d/b9be2ba5-7486-47e0-8659-195fa4c3b069/ba4e5e3e-0dc9-439c-a809-42e5814d73b9/slot/1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2021,63143.0,Maruti,UP-16,"₹ 6,14,000"
25,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-new-delhi-10057668705/,Mansarover garden Delhi,493000.0,"https://marketplace-cdn.cars24.com/production/10057668705/main image/2026-03-06/car_replace_bg_6957e382-6c98-4e2e-9569-9fa0889ab0a6.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,83518.0,Maruti,DL-2C,"₹ 4,93,000"
26,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-new-delhi-10026964748/,Zeta I Greater Noida Uttar Pradesh,443000.0,"https://marketplace-cdn.cars24.com/production/10026964748/main image/2026-03-06/car_replace_bg_a4ee9b00-d75c-4e42-a633-f8cff628a68c.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,47190.0,Maruti,JH-09,"₹ 4,43,000"
27,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-gurgaon-10168866734/,131 Lotus inn Gurgaon,424000.0,"https://marketplace-cdn.cars24.com/visio/prod/10168866734/mainimage/FrontRightSide-Transparent/shadowBackground/1772773391669IJIKFO.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2018,49760.0,Maruti,HR-76,"₹ 4,24,000"
28,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-faridabad-11071165706/,Sector 42 Faridabad Haryana,484000.0,"https://marketplace-cdn.cars24.com/visio/prod/11071165706/mainimage/FrontRightSide-Transparent/shadowBackground/17728762577848SVJKE.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2019,114577.0,Maruti,DL-6C,"₹ 4,84,000"
29,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-new-delhi-10029165706/,Alipur New Delhi Delhi,531000.0,"https://marketplace-cdn.cars24.com/production/10029165706/main image/2026-03-07/car_replace_bg_f0c8478e-a53e-4026-aa5e-9acafef66cda.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2021,40655.0,Maruti,DL-9C,"₹ 5,31,000"
30,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-new-delhi-10097960702/,Shahdara New Delhi Delhi,498000.00000000006,"https://marketplace-cdn.cars24.com/production/10097960702/main image/2026-03-07/car_replace_bg_1eb710da-13f6-4ab1-9533-29bad3225085.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2019,52727.0,Maruti,DL-9C,"₹ 4,98,000"
31,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-new-delhi-10039060704/,Din Appartment sec -4 Dwarka Din Appartment sec -4 Dwarka New Delhi,517000.0,"https://marketplace-cdn.cars24.com/production/10039060704/main image/2026-03-06/car_replace_bg_09872c82-4f57-45c5-bae6-1f2867f498b1.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2019,61627.0,Maruti,HR-26,"₹ 5,17,000"
32,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-noida-10599760707/,Sector-62 Noida Noida,805000.0000000001,"https://marketplace-cdn.cars24.com/visio/prod/10599760707/mainimage/FrontRightSide-Transparent/shadowBackground/1772863055270FPUV7Q.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Automatic,2021,32815.0,Maruti,DL-2C,"₹ 8,05,000"
33,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-new-delhi-11043861742/,Narela Rajeev Nagar Yard Faridabad,514000.0,"https://marketplace-cdn.cars24.com/production/11043861742/main image/2026-02-26/car_replace_bg_17b0fb3f-b477-471d-9266-825682a17535.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",CNG,Manual,2021,77942.0,Maruti,HR-51,"₹ 5,14,000"
34,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-noida-10500768742/,Noida Uttar Pradesh India,336000.0,"https://marketplace-cdn.cars24.com/visio/prod/10500768742/mainimage/FrontRightSide-Transparent/shadowBackground/1772793522107BAKWOL.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2016,108712.0,Maruti,UP-16,"₹ 3,36,000"
35,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-new-delhi-10098767752/,Swasthya Vihar New Delhi Delhi,537000.0,"https://marketplace-cdn.cars24.com/production/10098767752/main image/2026-01-07/car_replace_bg_23d5f744-6ac6-4ad3-bd64-89bdf75cd205.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2018,124065.0,Maruti,DL-12,"₹ 5,37,000"
36,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-noida-10593166732/,Indane Gas agency Bahlolpur Noida,403000.0,"https://marketplace-cdn.cars24.com/production/10593166732/main image/2026-02-03/car_replace_bg_b296f025-e5c8-4866-8c9c-e8cbe3af1389.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,81285.0,Maruti,UP-16,"₹ 4,03,000"
37,Maruti BREZZA,https://www.cars24.com/buy-used-maruti-brezza-2022-cars-gurgaon-10163968746/,Sector 71 Gurugram Haryana,850000.0,"https://marketplace-cdn.cars24.com/visio/prod/10163968746/mainimage/FrontRightSide-Transparent/shadowBackground/1772262640243IQUL3F.webp?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Petrol,Manual,2022,7393.0,Maruti,HR-21,"₹ 8,50,000"
38,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-noida-10560262754/,Greater Noida Noida Uttar Pradesh,517000.0,"https://marketplace-cdn.cars24.com/production/10560262754/main image/2026-01-14/car_replace_bg_144e8710-e956-4c66-90a1-3cda269242ed.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2018,125216.0,Maruti,UP-16,"₹ 5,17,000"
39,Maruti Vitara Brezza,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-noida-10591567715/,Block I Block I Greater Noida,463000.0,"https://marketplace-cdn.cars24.com/production/10591567715/main image/2025-12-21/car_replace_bg_57f0188a-9167-4462-aade-0776d5c086b4.png?w=200&format=auto&dpr=2&pad=48,0,0,0&trim-color=auto",Diesel,Manual,2017,137952.0,Maruti,UP-16,"₹ 4,63,000"
